2,23,107,0.59
3,26,35,0.22
4,26,38,0.27
5,32,35,0.62
6,32,38,0.23
7,29,35,0.82
8,29,38,0.42
9,77,86,0.56
12,83,86,0.46
13,74,86,0.45
14,80,86,0.55
15,77,89,0.22
16,83,89,0.14
17,74,89,0.75
18,80,89,0.84
19,77,92,0.14
20,83,92,0.07
21,74,92,0.78
22,80,92,0.96
23,86,95,0.11
24,89,95,0.4
25,92,95,0.58
26,86,98,0.39
27,89,98,0.71
28,92,98,0.87
29,86,101,0.1
30,89,101,0.07
31,92,101,0.17
32,47,41,0.08
33,116,41,0.29
34,47,44,0.5
35,116,44,0.49
36,23,110,0.7
37,86,104,0.29
38,89,104,0.08
39,92,104,0.01
40,74,11,0.1
41,74,14,0.93
42,74,17,0.22
43,8,11,0.88
44,8,14,0.35
45,8,17,0.7
46,11,2,0.45
47,14,2,0.75
48,17,2,0.81
49,11,20,0.33
50,14,20,0.58
51,17,20,0.79
52,35,56,0.28
53,38,56,0.59
54,41,56,0.56
55,44,56,0.86
56,95,56,0.21
57,98,56,0.06
58,101,56,0.6
59,104,56,0.92
60,107,56,0.11
61,110,56,0.58
62,2,56,0.31
63,20,56,0.1
64,35,53,0.59
65,38,53,0.8
66,41,53,0.1
67,44,53,0.74
68,95,53,0.95
69,98,53,0.73
70,101,53,0.95
71,104,53,0.58
72,107,53,0.49
73,110,53,0.64
74,2,53,0.1
75,20,53,0.59
76,35,50,0.28
77,38,50,0.17
78,41,50,0.35
79,44,50,0.42
80,95,50,0.66
81,98,50,0.62
82,101,50,0.56
83,104,50,0.43
84,107,50,0.96
85,110,50,0.84
86,2,50,0.46
87,20,50,0.77
88,50,65,0.1
89,53,65,0.48
90,56,65,0.83
91,50,113,0.37
92,53,113,0.05
93,56,113,0.78
94,50,59,0.98
95,53,59,0.64
96,56,59,0.31
97,50,62,0.23
98,53,62,0.85
99,56,62,0.65
100,50,68,0.04
101,53,68,0.45
102,56,68,0.58
103,65,1,0.87
104,113,1,0.66
105,65,71,0.56
106,113,71,0.46
107,65,119,0.69
108,113,119,0.5
