100,代码生成,6,com.ruoyi.project.tool.gen.controller.GenController.importTableSave(),POST,1,admin,,/tool/gen/importTable,127.0.0.1,内网IP,"{""tables"":""myusers""}","{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 06:58:25,46
101,代码生成,3,com.ruoyi.project.tool.gen.controller.GenController.remove(),DELETE,1,admin,,/tool/gen/1,127.0.0.1,内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 06:59:17,9
102,代码生成,6,com.ruoyi.project.tool.gen.controller.GenController.importTableSave(),POST,1,admin,,/tool/gen/importTable,127.0.0.1,内网IP,"{""tables"":""myusers""}","{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 06:59:21,16
103,代码生成,2,com.ruoyi.project.tool.gen.controller.GenController.editSave(),PUT,1,admin,,/tool/gen,127.0.0.1,内网IP,"{""businessName"":""myusers"",""className"":""Myusers"",""columns"":[{""capJavaField"":""Id"",""columnId"":2,""columnName"":""id"",""columnType"":""int"",""createBy"":""admin"",""createTime"":""2023-11-14 06:59:21"",""dictType"":"""",""edit"":false,""htmlType"":""input"",""increment"":false,""insert"":true,""isIncrement"":""0"",""isInsert"":""1"",""isPk"":""0"",""javaField"":""id"",""javaType"":""Long"",""list"":false,""params"":{},""pk"":false,""query"":false,""queryType"":""EQ"",""required"":false,""sort"":1,""superColumn"":false,""tableId"":2,""updateBy"":"""",""usableColumn"":false},{""capJavaField"":""Name"",""columnId"":3,""columnName"":""name"",""columnType"":""varchar(10)"",""createBy"":""admin"",""createTime"":""2023-11-14 06:59:21"",""dictType"":"""",""edit"":true,""htmlType"":""input"",""increment"":false,""insert"":true,""isEdit"":""1"",""isIncrement"":""0"",""isInsert"":""1"",""isList"":""1"",""isPk"":""0"",""isQuery"":""1"",""javaField"":""name"",""javaType"":""String"",""list"":true,""params"":{},""pk"":false,""query"":true,""queryType"":""LIKE"",""required"":false,""sort"":2,""superColumn"":false,""tableId"":2,""updateBy"":"""",""usableColumn"":false}],""crud"":true,""functionAuthor"":""ruoyi"",""functionName"":""用户"",""genPath"":""/"",""genType"":""0"",""moduleName"":""test"",""options"":""{\""parentMenuId\"":3}"",""packageName"":""com.ruoyi.project.test"",""params"":{""parentMenuId"":3},""parentMenuId"":""3"",""sub"":false,""tableComment"":""用户表"",""tableId"":2,""tableName"":""myusers"",""tplCategory"":""crud"",""tree"":false}","{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 07:00:59,23
104,代码生成,8,com.ruoyi.project.tool.gen.controller.GenController.batchGenCode(),GET,1,admin,,/tool/gen/batchGenCode,127.0.0.1,内网IP,"{""tables"":""myusers""}",,0,,2023-11-14 07:01:01,115
105,用户,2,com.ruoyi.project.test.controller.MyusersController.edit(),PUT,1,admin,,/test/myusers,127.0.0.1,内网IP,"{""id"":1,""name"":""qqq"",""params"":{}}","{""msg"":""操作失败"",""code"":500}",0,,2023-11-14 07:05:45,6
106,用户,2,com.ruoyi.project.test.controller.MyusersController.edit(),PUT,1,admin,,/test/myusers,127.0.0.1,内网IP,"{""id"":1,""name"":""qqq"",""params"":{}}","{""msg"":""操作失败"",""code"":500}",0,,2023-11-14 07:05:46,3
107,菜单管理,3,com.ruoyi.project.system.controller.SysMenuController.remove(),DELETE,1,admin,,/system/menu/2005,127.0.0.1,内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 07:07:07,74
108,菜单管理,3,com.ruoyi.project.system.controller.SysMenuController.remove(),DELETE,1,admin,,/system/menu/2004,127.0.0.1,内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 07:07:09,6
109,菜单管理,3,com.ruoyi.project.system.controller.SysMenuController.remove(),DELETE,1,admin,,/system/menu/115,127.0.0.1,内网IP,{},"{""msg"":""菜单已分配,不允许删除"",""code"":601}",0,,2023-11-14 07:07:12,4
110,菜单管理,3,com.ruoyi.project.system.controller.SysMenuController.remove(),DELETE,1,admin,,/system/menu/2003,127.0.0.1,内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 07:07:15,8
111,菜单管理,3,com.ruoyi.project.system.controller.SysMenuController.remove(),DELETE,1,admin,,/system/menu/2002,127.0.0.1,内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 07:07:17,6
112,菜单管理,3,com.ruoyi.project.system.controller.SysMenuController.remove(),DELETE,1,admin,,/system/menu/2001,127.0.0.1,内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 07:07:21,6
113,菜单管理,3,com.ruoyi.project.system.controller.SysMenuController.remove(),DELETE,1,admin,,/system/menu/2000,127.0.0.1,内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 07:08:12,7
114,菜单管理,1,com.ruoyi.project.system.controller.SysMenuController.add(),POST,1,admin,,/system/menu,127.0.0.1,内网IP,"{""children"":[],""createBy"":""admin"",""icon"":""component"",""isCache"":""0"",""isFrame"":""1"",""menuName"":""任务分配"",""menuType"":""M"",""orderNum"":6,""params"":{},""parentId"":0,""path"":""taskallocation"",""status"":""0"",""visible"":""0""}","{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 11:33:29,25
115,代码生成,3,com.ruoyi.project.tool.gen.controller.GenController.remove(),DELETE,1,admin,,/tool/gen/2,127.0.0.1,内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 11:33:49,20
116,代码生成,6,com.ruoyi.project.tool.gen.controller.GenController.importTableSave(),POST,1,admin,,/tool/gen/importTable,127.0.0.1,内网IP,"{""tables"":""tasks""}","{""msg"":""操作成功"",""code"":200}",0,,2023-11-14 11:34:07,53
