1,2,1,,
2,2,2,,
3,2,3,,
4,2,4,,
5,2,5,,
6,2,6,,
7,2,7,,
8,2,8,,
9,2,9,,
10,2,10,,
11,2,11,,
12,2,12,,
13,2,13,,
14,2,14,,
15,2,15,,
16,2,16,,
17,2,17,,
18,2,18,,
19,2,19,,
20,2,20,,
21,1,1,,
22,1,2,,
23,1,3,,
24,1,4,,
25,1,5,,
26,1,6,,
27,1,7,,
28,1,8,,
29,1,9,,
30,1,10,,
31,1,11,,
32,1,12,,
33,1,13,,
34,1,14,,
35,1,15,,
36,1,16,,
37,1,17,,
38,1,18,,
39,1,19,,
40,1,20,,
41,3,1,,
42,3,2,,
43,3,3,,
44,3,4,,
45,3,5,,
46,3,6,,
47,3,7,,
48,3,8,,
49,3,9,,
50,3,10,,
51,3,11,,
52,3,12,,
53,3,13,,
54,3,14,,
55,3,15,,
56,3,16,,
57,3,17,,
58,3,18,,
59,3,19,,
60,3,20,,
