100,0,0,若依科技,0,若依,15888888888,ry@qq.com,0,0,admin,2023-11-14 02:49:38,"",
101,100,"0,100",深圳总公司,1,若依,15888888888,ry@qq.com,0,0,admin,2023-11-14 02:49:38,"",
102,100,"0,100",长沙分公司,2,若依,15888888888,ry@qq.com,0,0,admin,2023-11-14 02:49:38,"",
103,101,"0,100,101",研发部门,1,若依,15888888888,ry@qq.com,0,0,admin,2023-11-14 02:49:38,"",
104,101,"0,100,101",市场部门,2,若依,15888888888,ry@qq.com,0,0,admin,2023-11-14 02:49:38,"",
105,101,"0,100,101",测试部门,3,若依,15888888888,ry@qq.com,0,0,admin,2023-11-14 02:49:38,"",
106,101,"0,100,101",财务部门,4,若依,15888888888,ry@qq.com,0,0,admin,2023-11-14 02:49:38,"",
107,101,"0,100,101",运维部门,5,若依,15888888888,ry@qq.com,0,0,admin,2023-11-14 02:49:38,"",
108,102,"0,100,102",市场部门,1,若依,15888888888,ry@qq.com,0,0,admin,2023-11-14 02:49:38,"",
109,102,"0,100,102",财务部门,2,若依,15888888888,ry@qq.com,0,0,admin,2023-11-14 02:49:38,"",
