1,0,9,0.34
2,0,10,0.46
3,1,9,0.57
4,1,10,0.34
5,2,3,0.67
6,3,11,0.64
7,3,12,0.34
8,3,13,0.34
9,4,11,0.67
10,4,12,0.64
11,4,13,0.64
12,5,11,0.43
13,5,12,0.46
14,5,13,0.57
15,6,7,0.34
16,6,11,0.67
17,6,12,0.67
18,6,13,0.64
19,7,11,0.34
20,7,12,0.34
21,7,13,0.46
22,8,11,0.57
23,8,12,0.34
24,8,13,0.67
25,9,11,0.43
26,9,12,0.36
27,9,13,0.34
28,10,11,0.64
29,10,12,0.64
30,10,13,0.34
31,11,15,0.34
32,11,16,0.46
33,11,17,0.64
34,12,15,0.34
35,12,16,0.34
36,12,17,0.46
37,13,15,0.57
38,13,16,0.34
39,13,17,0.67
40,16,18,0.67
41,16,19,0.64
42,17,18,0.46
43,17,19,0.57
44,8,14,0.34
45,9,14,0.67
46,10,14,0.67
47,14,16,0.46
48,14,17,0.57
