1,20,29,0.57,,
2,20,30,0.34,,
3,21,29,0.46,,
4,21,30,0.65,,
5,22,23,0.23,,
6,23,31,0.36,,
7,23,32,0.12,,
8,23,33,0.34,,
9,24,31,0.74,,
10,24,32,0.21,,
11,24,33,0.64,,
12,25,31,0.43,,
13,25,32,0.36,,
14,25,33,0.34,,
15,26,27,0.64,,
16,26,31,0.43,,
17,26,32,0.36,,
18,26,33,0.75,,
19,27,31,0.34,,
20,27,32,0.46,,
21,27,33,0.57,,
22,28,31,0.34,,
23,28,32,0.67,,
24,28,33,0.64,,
25,29,31,0.34,,
26,29,32,0.74,,
27,29,33,0.21,,
28,30,31,0.64,,
29,30,32,0.43,,
30,30,33,0.36,,
31,31,35,0.34,,
32,31,36,0.46,,
33,31,37,0.57,,
34,32,38,0.34,,
35,32,36,0.67,,
36,32,37,0.64,,
37,33,38,0.34,,
38,33,36,0.34,,
39,33,37,0.74,,
40,36,38,0.21,,
41,36,39,0.64,,
42,37,38,0.43,,
43,37,39,0.46,,
44,28,34,0.57,,
45,29,34,0.34,,
46,30,34,0.67,,
47,34,36,0.64,,
48,34,37,0.34,,
