1,系统管理,0,1,system,,"",1,0,M,0,0,"",system,admin,2023-09-04 21:11:06,"",,系统管理目录
2,系统监控,0,2,monitor,,"",1,0,M,0,0,"",monitor,admin,2023-09-04 21:11:06,"",,系统监控目录
3,系统工具,0,3,tool,,"",1,0,M,0,0,"",tool,admin,2023-09-04 21:11:06,"",,系统工具目录
4,若依官网,0,4,http://ruoyi.vip,,"",0,0,M,0,0,"",guide,admin,2023-09-04 21:11:06,"",,若依官网地址
100,用户管理,1,1,user,system/user/index,"",1,0,C,0,0,system:user:list,user,admin,2023-09-04 21:11:06,"",,用户管理菜单
101,角色管理,1,2,role,system/role/index,"",1,0,C,0,0,system:role:list,peoples,admin,2023-09-04 21:11:06,"",,角色管理菜单
102,菜单管理,1,3,menu,system/menu/index,"",1,0,C,0,0,system:menu:list,tree-table,admin,2023-09-04 21:11:06,"",,菜单管理菜单
103,部门管理,1,4,dept,system/dept/index,"",1,0,C,0,0,system:dept:list,tree,admin,2023-09-04 21:11:06,"",,部门管理菜单
104,岗位管理,1,5,post,system/post/index,"",1,0,C,0,0,system:post:list,post,admin,2023-09-04 21:11:06,"",,岗位管理菜单
105,字典管理,1,6,dict,system/dict/index,"",1,0,C,0,0,system:dict:list,dict,admin,2023-09-04 21:11:06,"",,字典管理菜单
106,参数设置,1,7,config,system/config/index,"",1,0,C,0,0,system:config:list,edit,admin,2023-09-04 21:11:06,"",,参数设置菜单
107,通知公告,1,8,notice,system/notice/index,"",1,0,C,0,0,system:notice:list,message,admin,2023-09-04 21:11:06,"",,通知公告菜单
108,日志管理,1,9,log,"","",1,0,M,0,0,"",log,admin,2023-09-04 21:11:06,"",,日志管理菜单
109,在线用户,2,1,online,monitor/online/index,"",1,0,C,0,0,monitor:online:list,online,admin,2023-09-04 21:11:06,"",,在线用户菜单
110,定时任务,2,2,job,monitor/job/index,"",1,0,C,0,0,monitor:job:list,job,admin,2023-09-04 21:11:06,"",,定时任务菜单
111,数据监控,2,3,druid,monitor/druid/index,"",1,0,C,0,0,monitor:druid:list,druid,admin,2023-09-04 21:11:06,"",,数据监控菜单
112,服务监控,2,4,server,monitor/server/index,"",1,0,C,0,0,monitor:server:list,server,admin,2023-09-04 21:11:06,"",,服务监控菜单
