00101,1,子任务1.1
00102,1,子任务1.2
00103,1,子任务1.3
00104,1,子任务1.4
00105,1,子任务1.5
00106,1,子任务1.6
00201,2,子任务2.1
00202,2,子任务2.2
00203,2,子任务2.3
00204,2,子任务2.4
00205,2,子任务2.5
00301,3,子任务3.1
00302,3,子任务3.2
00303,3,子任务3.3
00304,3,子任务3.4
00305,3,子任务3.5
00401,4,子任务4.1
00402,4,子任务4.2
00403,4,子任务4.3
00404,4,子任务4.4
00405,4,子任务4.5
00501,5,子任务5.1
00502,5,子任务5.2
00503,5,子任务5.3
00504,5,子任务5.4
00505,5,子任务5.5
00506,5,子任务5.6
00601,6,子任务6.1
00602,6,子任务6.2
00603,6,子任务6.3
00604,6,子任务6.4
00605,6,子任务6.5
00606,6,子任务6.6
00701,7,子任务7.1
00702,7,子任务7.2
00703,7,子任务7.3
00704,7,子任务7.4
00705,7,子任务7.5
00801,8,子任务8.1
00802,8,子任务8.2
00803,8,子任务8.3
00804,8,子任务8.4
00805,8,子任务8.5
00901,9,子任务9.1
00902,9,子任务9.2
00903,9,子任务9.3
00904,9,子任务9.4
00905,9,子任务9.5
00906,9,子任务9.6
01001,10,子任务10.1
01002,10,子任务10.2
01003,10,子任务10.3
01004,10,子任务10.4
01005,10,子任务10.5
01006,10,子任务10.6
